country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","25-10-2025 18:00:00",25.592539,85.227158,PM10,77,207,117
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","25-10-2025 18:00:00",25.610369,85.132568,CO,34,62,50
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","25-10-2025 18:00:00",25.610369,85.132568,OZONE,39,52,46
India,Bihar,Patna,"Muradpur, Patna - BSPCB","25-10-2025 18:00:00",25.619651,85.147382,PM2.5,38,204,76
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","25-10-2025 18:00:00",21.237755,81.705301,PM10,37,65,53
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","25-10-2025 18:00:00",21.237755,81.705301,CO,13,24,16
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","25-10-2025 18:00:00",22.06631475,83.33820077,OZONE,3,100,73
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","25-10-2025 18:00:00",28.647622,77.3158090,PM10,181,500,428
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","25-10-2025 18:00:00",28.647622,77.3158090,NO2,60,203,117
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","25-10-2025 18:00:00",21.224231,81.408350,SO2,8,15,11
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","25-10-2025 18:00:00",22.08815,82.13737,PM2.5,38,110,64
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","25-10-2025 18:00:00",22.118125,83.140608,OZONE,13,123,96
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","25-10-2025 18:00:00",22.348441,82.549611,NH3,1,2,2
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","25-10-2025 18:00:00",25.859655,85.77944,SO2,18,32,25
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","25-10-2025 18:00:00",25.859655,85.77944,CO,2,32,1
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","25-10-2025 18:00:00",24.952822,84.002396,NH3,2,3,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","25-10-2025 18:00:00",24.952822,84.002396,CO,32,57,51
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","25-10-2025 18:00:00",26.2271665,84.3570427,OZONE,2,2,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","25-10-2025 18:00:00",21.219665,81.630094,NO2,12,36,19
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","25-10-2025 18:00:00",28.5504249,77.2159377,PM10,146,430,216
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","25-10-2025 18:00:00",28.5504249,77.2159377,NO2,42,62,51
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","25-10-2025 18:00:00",28.5504249,77.2159377,SO2,25,30,28
