city,latitude,longitude,avg_pollution
Asansol,23.697936,86.944395,47.29
Varanasi,25.323930,82.996870,35.83
Noida,28.569230,77.393848,165
Prayagraj,25.449199,81.827360,54
Meerut,28.953588,77.762294,97
Kolkata,22.627847,88.380669,47.29
Kadapa,14.465052,78.824187,15.5
Gaya,24.795500,84.999400,34
Amaravati,16.515083,80.518167,20.2
Korba,22.368195,82.746431,26.33
Delhi,28.656756,77.227234,135.43
Ahmedabad,23.041137,72.456691,49
Surat,21.170046,72.795405,36.2
Tumakuru,13.377516,77.099072,38
Vijayapura,16.802639,75.722694,20.83
Ratlam,23.331731,75.045981,93.25
Rupnagar,31.032545,76.562305,65.8
Cuttack,20.488910,85.847680,36.5
Talcher,20.936071,85.170702,57.33
Sirohi,24.885261,72.857549,42
Chennai,13.005219,80.239813,30.29
Prayagraj,25.494000,81.863000,45
Noida,28.624548,77.357710,118
Howrah,22.554954,88.292568,62
Kolkata,22.511060,88.351420,59.86
Bengaluru,12.990328,77.543139,26
Davanagere,14.475800,75.905200,15.33
Mysuru,12.210410,76.373760,20.29
Mumbai,19.100780,72.874620,10
Nashik,19.959135,73.778801,13.57
Hyderabad,17.531690,78.218939,28.5
Moradabad,28.835260,78.744600,56.29
Bidar,17.930306,77.482194,31
Kolhapur,16.714375,74.242640,36
